@relation 'user_remapped-weka.filters.unsupervised.attribute.Remove-R6-7,14-23-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,12-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.instance.Resample-B1.0-S3-Z100.0'

@attribute votes_funny numeric
@attribute votes_useful numeric
@attribute votes_cool numeric
@attribute review_count numeric
@attribute friends numeric
@attribute fans numeric
@attribute average_stars numeric
@attribute compliments numeric
@attribute elite numeric
@attribute profile numeric
@attribute cute numeric
@attribute funny numeric
@attribute plain numeric
@attribute writer numeric
@attribute list numeric
@attribute note numeric
@attribute photos numeric
@attribute hot numeric
@attribute more numeric
@attribute cool numeric
@attribute personality {Extraverted,Introverted}

@data
8,46,8,38,19,2,3.39,3,1,0,0,1,0,0,0,2,0,0,0,0,Extraverted
0,2,0,6,1,0,3.33,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
0,0,0,3,1,0,4.33,1,1,0,0,0,1,0,0,0,0,0,0,0,Introverted
5,21,12,9,1,2,3.44,2,1,0,0,1,0,0,0,0,0,0,0,1,Extraverted
1,1,0,2,1,0,3.67,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
1,3,1,11,1,0,3.78,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
64,154,41,52,14,2,3.42,11,1,0,1,1,0,1,0,4,0,3,0,1,Introverted
0,2,1,7,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
14,33,17,61,8,0,3.71,3,1,0,0,0,1,0,0,0,0,1,0,1,Extraverted
3,13,4,16,1,0,4,1,1,0,0,0,0,0,0,0,0,0,1,0,Extraverted
1,2,1,9,1,0,4.56,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
3,4,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
0,7,2,3,6,0,4.33,2,1,0,0,0,1,0,0,0,0,0,1,0,Introverted
0,2,0,1,1,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,Extraverted
1,3,0,7,1,0,3.86,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
37,124,36,55,1,0,2.51,8,1,1,0,0,1,0,0,3,0,1,1,1,Extraverted
0,1,0,2,1,0,2.5,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
1,28,4,24,1,0,3.83,3,1,0,0,0,1,2,0,0,0,0,0,0,Extraverted
68,186,59,140,1,1,3.41,18,3,0,0,1,2,1,0,3,0,3,1,7,Extraverted
12,47,5,24,1,0,3.48,5,1,0,0,0,1,0,0,2,0,0,2,0,Introverted
1,2,0,3,1,0,2.67,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
6,19,8,41,2,0,3.78,4,1,0,0,0,3,0,0,1,0,0,0,0,Extraverted
0,6,1,11,2,0,4.09,2,1,0,0,1,0,0,0,1,0,0,0,0,Extraverted
6,14,2,6,1,0,3.17,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
2,6,2,6,1,0,1.2,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
11,77,7,52,1,1,3.3,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
0,3,1,6,1,0,1.17,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
8,23,4,15,1,1,2.88,2,1,0,0,0,1,0,0,1,0,0,0,0,Introverted
7,4,0,5,1,0,2.8,1,1,0,0,1,0,0,0,0,0,0,0,0,Extraverted
0,1,1,1,3,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
232,934,273,777,12,12,3.56,200,4,2,0,12,32,28,7,55,0,21,4,39,Extraverted
7,4,1,10,1,0,2.75,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
568,652,463,184,31,27,4.27,418,5,7,5,71,87,38,1,34,12,70,5,88,Introverted
4,43,6,28,16,1,4.07,3,1,0,0,0,1,0,0,2,0,0,0,0,Extraverted
1,2,1,4,1,0,5,1,1,0,0,0,1,0,0,0,0,0,0,0,Extraverted
29,76,32,59,3,2,3.97,12,1,0,0,1,2,3,0,2,0,0,1,3,Introverted
3,11,1,39,1,0,3.74,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
0,0,0,1,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
257,439,213,129,4,11,3.58,116,4,0,0,10,22,13,2,15,1,15,5,33,Introverted
3,6,3,4,1,0,3.25,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
0,3,1,14,1,0,4.33,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
1,1,1,9,1,0,4.11,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
4,3,1,4,1,0,4.75,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
0,1,0,2,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
1,15,2,9,5,0,2,2,1,0,0,0,0,0,0,1,0,0,0,1,Extraverted
16,13,2,9,1,0,3.38,0,1,0,0,0,0,0,0,0,0,0,0,0,Extraverted
0,2,2,2,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
17,83,9,41,1,1,3.73,3,1,0,0,0,1,1,0,0,0,1,0,0,Extraverted
51,104,79,42,15,0,3.69,29,1,0,1,6,6,2,0,3,0,2,0,9,Extraverted
1,7,2,8,1,0,3.17,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
180,749,236,892,14,11,3.55,55,6,0,1,4,14,10,1,6,3,1,3,12,Introverted
0,4,2,4,1,0,3.67,0,1,0,0,0,0,0,0,0,0,0,0,0,Introverted
