@relation _user_unmapped_updated-weka.filters.unsupervised.attribute.Remove-R1

@attribute votes_funny numeric
@attribute votes_useful numeric
@attribute votes_cool numeric
@attribute review_count numeric
@attribute friends numeric
@attribute fans numeric
@attribute average_stars numeric
@attribute compliments numeric
@attribute elite numeric
@attribute profile numeric
@attribute cute numeric
@attribute funny numeric
@attribute plain numeric
@attribute writer numeric
@attribute list numeric
@attribute note numeric
@attribute photos numeric
@attribute hot numeric
@attribute more numeric
@attribute cool numeric
@attribute personality {Extroverted,Introverted}

@data
78,7,1,5,1,0,2.2,0,1,0,0,0,0,0,0,0,0,0,0,0,?
4,23,9,19,2,1,4.3,1,1,0,0,0,0,0,0,0,1,0,0,0,?
0,0,0,1,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,?
0,2,1,3,17,0,3.67,0,1,0,0,0,0,0,0,0,0,0,0,0,?
47,107,38,58,1,0,2.83,4,1,0,0,0,0,1,0,0,0,0,1,2,?
1,1,0,3,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,?
3,18,1,24,1,1,3.96,0,1,0,0,0,0,0,0,0,0,0,0,0,?
0,4,0,4,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,?
0,3,0,3,1,0,3.67,0,1,0,0,0,0,0,0,0,0,0,0,0,?
1,5,0,3,3,0,3.67,0,1,0,0,0,0,0,0,0,0,0,0,0,?
3,25,5,41,1,0,3.98,0,1,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,1,1,0,5,1,1,0,0,0,0,0,0,1,0,0,0,0,?
0,0,0,1,2,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,?
1,20,2,20,3,0,3.25,2,1,0,0,0,1,0,0,0,0,0,1,0,?
2,19,6,21,3,1,4.55,0,1,0,0,0,0,0,0,0,0,0,0,0,?
0,0,1,2,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,?
86,120,61,111,3,0,4,28,1,4,0,6,5,2,1,3,1,4,1,1,?
4,8,4,17,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,?
7,27,2,8,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,?
1,1,1,2,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,?
402,740,486,237,3,7,3.88,224,3,4,1,15,85,26,0,28,1,18,1,45,?
4,9,0,6,1,0,3.33,0,1,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,2,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,?
0,1,0,1,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,?
2,4,0,6,3,0,3.5,0,1,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,3,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,?
1,8,4,4,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,?
0,4,0,3,1,0,2.67,0,1,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,3,1,0,3.5,0,1,0,0,0,0,0,0,0,0,0,0,0,?
4,1,1,4,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,?
22,34,6,16,1,0,3.71,4,1,0,0,1,1,2,0,0,0,0,0,0,?
1,2,1,1,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,?
0,2,0,3,1,0,5,1,1,0,0,0,1,0,0,0,0,0,0,0,?
0,1,0,1,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,?
0,1,0,2,5,0,5,1,1,0,0,0,1,0,0,0,0,0,0,0,?
1,4,1,8,2,0,3.71,0,1,0,0,0,0,0,0,0,0,0,0,0,?
5,18,2,3,1,0,3.67,0,1,0,0,0,0,0,0,0,0,0,0,0,?
0,0,1,2,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,1,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,?
0,3,0,4,1,0,3.25,0,1,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,1,2,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,?
15,31,13,63,1,1,3.59,3,1,0,0,1,2,0,0,0,0,0,0,0,?
0,2,2,3,3,0,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,?
2,3,2,2,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,?
0,9,1,2,1,0,2.5,0,1,0,0,0,0,0,0,0,0,0,0,0,?
8,39,11,42,1,0,3.69,0,1,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,1,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,?
1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,?
1,1,0,2,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,?
0,1,1,1,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,?
