yelping_since,votes_funny,votes_useful,votes_cool,review_count,name,user_id,friends,fans,average_stars,type,compliments,elite,num_sweet,num_spicy,num_salty,num_carbs,num_crunchy,num_sour,num_citrus,num_exotic,num_chocolate ,num_alcoholic,personality
2010-10,1,0,1,7,Nancy,4duCDxDMiRJJbc2CmnziAg,0,0,3.57,user,0,0,15,3,9,3,3,1,0,0,2,0,Prosocial
2012-02,0,0,1,4,Douglas,2EeuYhLuzvvrJ9v2pVrTjQ,0,0,3.0,user,0,0,0,0,1,0,2,0,1,0,0,1,Perfectionist
2012-05,1,0,0,2,F.,EAKOI5JjZU7rZU2FtoSoEA,0,0,3.5,user,0,0,0,0,4,0,7,0,0,0,0,0,Perfectionist
2009-03,0,0,0,1,Yusef,9QXjwdxQXhrXuGu842gojQ,0,0,5.0,user,0,0,0,0,6,0,0,0,0,0,0,0,Anxious
2011-11,7,18,4,30,Bryan,liIQCDzDTnvXc7X8twBIjg,0,0,3.27,user,6,0,4,0,6,1,1,0,0,1,0,1,Anxious
2009-03,11,38,12,49,Trish P. and Jason,3I0fKRTtr0bmjKP5fVzwYg,0,0,4.08,user,1,0,0,1,0,3,0,0,0,0,0,0,Passive
2009-04,18,97,16,98,Tommy,bq1fa6fmeFPXa7qe2pU1Hg,0,1,3.72,user,9,0,1,0,1,5,1,1,0,0,0,0,Passive
2005-07,108,286,164,198,allegra,_qDCRA8PTafuoXc0VWyBlw,8,8,4.04,user,29,4,0,2,2,2,1,1,0,0,0,7,Liberal
2010-04,3,12,4,10,Katherine,xv87nN3KfS3KsR44CPiAUg,0,0,3.9,user,1,0,0,0,0,2,1,0,0,0,0,0,Passive
2012-06,0,3,1,6,Gabrielle,pLCTr-amfxzp3JXli3y9Kg,0,0,3.83,user,0,0,5,1,1,0,0,0,0,0,0,0,Prosocial
2011-04,0,5,0,3,Don,XgAf6bN-XzTTUQIw1k6_oA,0,0,3.67,user,0,0,1,2,1,1,1,0,0,0,0,0,Risk Taker
2009-02,14,28,20,10,Amber,d3rsz09litqwVDGC6egItg,8,0,3.82,user,16,0,2,0,0,0,0,0,0,0,0,3,Liberal
2010-02,136,193,88,109,Audra,ZubK3U5PlTWy4VIQG_Wpzg,40,3,3.4,user,67,1,29,10,26,19,16,8,6,3,2,30,Liberal
2011-07,14,56,13,46,Sosa,gI9xDj8hiKdRN6qDy6O_ug,20,0,3.57,user,14,0,0,1,10,4,2,1,4,1,0,1,Anxious
2010-01,145,94,68,37,Jorge,4hIgSKVFrstym0E2SEzL-g,1,2,3.59,user,17,0,0,1,3,2,0,0,0,0,0,1,Anxious
2013-11,0,6,1,7,Hela,cy3pOp2cuZbFCjfGnhnfmw,0,0,4.0,user,0,0,0,0,2,0,1,0,0,0,0,0,Anxious
2006-07,23,26,16,93,Matthew,hNlHSw7g_ujCaVO3zBOr4g,25,3,3.62,user,10,0,0,0,1,4,0,0,0,0,0,1,Passive
2011-05,88,358,182,15,Daniel,GDRSl9fQJ2khJnHEZg2CZQ,0,75,4.08,user,2,0,0,0,2,0,0,0,0,0,0,0,Anxious
2011-04,6,15,5,20,Sarah,MtgH4ksVOPSF2pAq3Fw2gw,2,0,3.65,user,1,0,6,0,2,3,0,0,1,0,1,0,Prosocial
2011-11,0,11,2,7,Holly,gGGMxtwNWxR_c8VARfbWDg,0,0,5.0,user,1,0,0,1,3,0,0,0,0,1,0,0,Anxious
2011-04,11,45,16,29,Mike,pZZoNEg9DhlQCpbwUm9NQw,17,3,3.78,user,10,0,0,5,12,4,0,1,0,0,0,1,Anxious
2011-04,27,62,27,110,Becca,f01B5tRtqf3k6ak1pPSAWw,19,1,4.63,user,4,0,9,0,11,1,3,0,4,0,1,3,Anxious
2010-02,3,9,4,12,Terri,1G7v15k03lh2Y6f2O1YKsg,4,0,4.54,user,1,0,2,2,2,0,2,1,1,1,0,1,Prosocial
2011-08,5,9,3,6,Jarvis,X73FFjzveWTOSJR2RfTh9A,1,0,4.2,user,0,0,1,0,2,1,1,0,1,0,0,0,Anxious
2010-02,5,17,1,21,Kunal,gW3DYv-sOMtVMefnlUJcyA,1,0,3.32,user,0,0,1,0,5,2,0,0,0,0,0,1,Anxious
2009-10,69,318,174,269,Danielle,9xjnMhMpTiJXj4nig4NNUg,17,7,4.04,user,101,1,0,0,2,0,0,0,0,0,0,0,Anxious
2013-04,0,4,1,4,David,h65LAf0gId-d3Ch6AxruKw,0,0,2.75,user,0,0,0,7,2,0,0,0,1,0,0,0,Risk Taker
2010-03,9,42,9,46,Nikki,-J06hZ3w7N2oV5QwaAjtwg,8,0,3.72,user,4,0,5,1,7,0,2,0,0,3,1,1,Anxious
